Model,Config,Feature,Category,Mean_abs_SHAP,Rank_Overall,Rank_Cat,Share_PCT
SVR,Climate_only,rainfall_rate_mm_per_day_anom,Climate,0.16082180794578688,8,8,4.353040716383761
SVR,Climate_only,relative_humidity_2m_pct_anom,Climate,0.15709460303456854,9,9,4.252154680192026
SVR,Climate_only,rainfall_total_mm_anom,Climate,0.129215067513315,10,10,3.4975259713865956
SVR,Climate_only,rainfall_rate_mm_per_day,Climate,0.10916353340590129,11,11,2.9547815170713356
SVR,Climate_only,wind_speed_10m_ms_anom,Climate,0.06960757164549566,12,12,1.8841014002503031
SVR,Climate_only,temp_mean_celsius_anom,Climate,0.06863307551989067,13,13,1.8577242480039688
SVR,Climate_only,rainfall_total_mm,Climate,0.0027114653484584805,14,14,0.07339252812580174
SVR,Commodity_only,wpi_primary_food_articles_yoy,Commodity,0.5051791375495557,1,1,25.318887211381135
SVR,Commodity_only,wpi_manufactured_food_yoy,Commodity,0.2658215996326339,2,2,13.32261488883705
SVR,Commodity_only,wpi_onion_yoy,Commodity,0.1481400632523993,3,3,7.424577291864979
SVR,Commodity_only,wpi_mustard_oil_yoy,Commodity,0.14405412659741396,4,4,7.219795736905627
SVR,Commodity_only,wpi_rice_yoy,Commodity,0.1295622968179134,5,5,6.493485055404618
SVR,Commodity_only,wpi_potato_yoy,Commodity,0.1251673766803505,6,6,6.2732176710353125
SVR,Commodity_only,wpi_garlic_yoy,Commodity,0.09726550101022755,7,7,4.874813836497462
SVR,Commodity_only,wpi_brinjal_yoy,Commodity,0.08603061340395464,8,8,4.311736640721808
SVR,Commodity_only,wpi_arhar_tur_yoy,Commodity,0.07611779366190168,9,9,3.8149196775090886
SVR,Commodity_only,wpi_milk_yoy,Commodity,0.058668687555180905,10,10,2.9403943524957463
SVR,Commodity_only,wpi_moong_yoy,Commodity,0.058348488826064665,11,11,2.9243464302734505
SVR,Commodity_only,wpi_egg_yoy,Commodity,0.05294350034114499,12,12,2.6534558022631622
SVR,Commodity_only,palm_oil_usd_yoy,Commodity,0.04887883620123059,13,13,2.449740396655101
SVR,Commodity_only,wpi_maize_yoy,Commodity,0.045672947626883405,14,14,2.2890656474564777
SVR,Commodity_only,wpi_cabbage_yoy,Commodity,0.04544721707015461,15,15,2.27775234078728
SVR,Commodity_only,wpi_gram_chana_yoy,Commodity,0.024392665870462647,16,16,1.222527040516527
SVR,Commodity_only,wpi_tomato_yoy,Commodity,0.024259039859089355,17,17,1.2158298876473919
SVR,Commodity_only,crude_oil_brent_usd_yoy,Commodity,0.017628433238932394,18,18,0.8835129555327458
SVR,Commodity_only,wpi_soybean_oil_yoy,Commodity,0.010064095634572202,19,19,0.5043987039771431
SVR,Commodity_only,global_fertilizer_index_yoy,Commodity,0.007861952714558602,20,20,0.39403031369559377
SVR,Commodity_only,wpi_wheat_yoy,Commodity,0.006756081254370422,21,21,0.33860554911286544
SVR,Commodity_only,wpi_sugar_yoy,Commodity,0.006532671295637395,22,22,0.327408547640282
SVR,Commodity_only,wpi_groundnut_oil_yoy,Commodity,0.0043206945247373,23,23,0.216547298206519
SVR,Commodity_only,wpi_urad_yoy,Commodity,0.003601875685356733,24,24,0.1805210814312723
SVR,Commodity_only,wpi_masur_yoy,Commodity,0.002550261997231313,25,25,0.12781564215136895
SVR,Full,temp_mean_celsius_anom,Climate,0.08251920969310156,8,1,3.8375253289085838
SVR,Full,solar_irradiance_kwm2_anom,Climate,0.028797590593175458,16,2,1.339221300396057
SVR,Full,solar_irradiance_kwm2,Climate,0.024663306300420944,21,3,1.1469579383333364
SVR,Full,surface_soil_wetness_index_anom,Climate,0.018355653182983458,24,4,0.8536228628501898
SVR,Full,relative_humidity_2m_pct_anom,Climate,0.014845676802318877,26,5,0.6903927093530067
SVR,Full,wind_speed_10m_ms_anom,Climate,0.014088491332260854,27,6,0.6551800790959319
